coffee,origin,flavour,region,variety,process,roast,roaster,roaster_name
Rwanda Nyampinga, southern Rwanda,"Deeply sweet, cocoa-toned. Dark chocolate, cedar, magnolia, caramel, black peppercorn in aroma and cup. Round, gently resonant acidity; syrupy-smooth mouthfeel. The finish is thoroughly chocolate-toned, with pleasantly smoky background hints of cedar.","Nyaruguru,",,others,medium,Texas Coffee Traders,
Montaña de Abi Anny Ruth El Salvador, El Salvador,"Delicate, sweetly tart, spice-toned. Nougat, orange, clove, rye whisky, baker’s chocolate in aroma and cup. Crisply sweet-tart acidity; full, syrupy mouthfeel. The gently drying finish is richly aromatic and laden with chocolate tones, hints of orange, and a whisper of sweet ferment suggesting rye whisky.","El Boquerón region,",,others,medium,West Oak Coffee,
Congo Muungano, Democratic Republic of the Congo,"Sweetly savory, high-toned. Blackberry, freesia-like flowers, orange zest, brown sugar, juniper in aroma and cup. Rich, savory acidity; delicate, though rather syrupy mouthfeel. The finish is especially savory-toned, resonant with notes of juniper (berry and bark) and bittersweet orange zest.","Kalehe, South Kivu Province,",,others,medium,Allegro Coffee Roasters,
Colombia La Palma Y El Tucan Gesha, central Colombia,"Exuberant, delicately spice-toned. Sandalwood, roasted cacao nib, strawberry, roasted almond, tea rose in aroma and cup. Bright, juicy, intensely floral-toned acidity; velvety mouthfeel. The flavorful finish leads with notes of cacao nib and strawberry in the short, consolidating to sandalwood and rose in an impressively ringing, persistent long.","Cundinamarca Department,",,others,light,Bird Rock Coffee Roasters,
Puna Natural, Big Island of Hawaii,"Abundantly sweet, deeply rich and savory. Dried apricot, lime zest, nougat, lavender, thyme in aroma and cup. Round, fruit-toned acidity; lightly syrupy mouthfeel. The resonant finish is characterized by savory herb notes, nougat and hints of piquant citrus zest.","Puna District,",,others,medium,Big Island Coffee Roasters,
El Salvador Anny Ruth Red Honey, El Salvador,"Balanced, classic in structure. Baker’s chocolate, cedar, dried fig, magnolia, tangerine zest in aroma and cup. Crisply sweet, gentle acidity; round, plush mouthfeel. In the deeply rich finish, the flavor consolidates to notes of cocoa-toned fig with a hint of tangerine zest.","El Boquerón region,",,others,medium,Manzanita Roasting Company,
Static Tio Emilio Pichincha Ecuador, Ecuador,"Crisply sweet, balanced. Maple syrup, rhododendron-like flowers, pear, hazelnut, cedar in aroma and cup. Briskly sweet acidity; silky mouthfeel. The flavor-saturated finish is resonant, if short.","Maputo,",,others,medium,Espresso Republic,
Selected Medium Roast Espresso,not disclosed,"Evaluated as espresso. Deep-toned, richly sweet. Baker’s chocolate, orange zest, gardenia-like flowers, vanilla, very lightly scorched oak in aroma and small cup. Velvety mouthfeel; notes of chocolate and orange zest carry the resonant, balanced finish. In three parts milk, chocolate dominates, while a very gently scorched oak and vanilla-like floral notes return, with hints of pretty citrus zest, in the finish.",,,others,medium,"Shanghai Creation Trading Co, Ltd.",
Selected Full City Roast Espresso,not disclosed,"Evaluated as espresso. Deeply sweet-tart, with a slight savory edge. Gardenia-like flowers, dark chocolate, orange zest, almond, cedar in aroma and small cup. Crisp though syrupy mouthfeel. The finish consolidates to notes of dark chocolate, orange zest and almond in the short, cedar in the long. Dark chocolate and almond tones lead in three parts milk, where a pleasing suggestion of mint surfaces.",,,others,medium,"Shanghai Creation Trading Co, Ltd.",
Bourbon Peaberry, “Big Island” of Hawaii,"Richly sweet, deeply savory. Lime zest, white peppercorn, milk chocolate, sandalwood, dried coconut in aroma and cup. Lively, lyrical acidity; full, syrupy mouthfeel. The flavor-saturated finish is laden with all the notes promised by both aroma and flavor, though the lime zest softens to lime blossom as the finish lengthens and turns resonantly floral.","Holualoa, North Kona growing district,",,others,medium,Hula Daddy Kona Coffee,
Sumatra Boru Batak, Indonesia,"Sweetly pungent, complexly layered. Baker's chocolate, pink grapefruit zest, dried mango, freesia, perique (fermented) tobacco in aroma and cup. Juicy, bright, balanced acidity; full, syrupy mouthfeel. The resonant, richly drying finish has a throughline of baker’s chocolate and dried mango, accented by tobacco and spicy floral notes.","Lintong growing region, North Sumatra Province, Sumatra,",,others,medium,Notch Coffee,
Kenya Marumi AA, Kenya,"Richly sweet-savory, floral-toned. Mulberry, rhododendron, lemon verbena, white peppercorn, roasted cacao nib in aroma and cup. Sweet, rounded acidity; plush, velvety mouthfeel. The resonant finish consolidates to mulberry and roasted cacao nib in the short; notes of white peppercorn return in the long.","Maragua, Muranga County,",,others,medium,Notch Coffee,
Competition Espresso,Kenya,"Evaluated as espresso. Deep-toned, balanced, richly sweet. Dark chocolate, cherry blossom, pink grapefruit, coconut, fresh-cut cedar in aroma and small cup. Round, buttery mouthfeel; sweetly tart cedar- and floral-toned finish. Dark chocolate and coconut notes are amplified in three parts milk, supported by pleasant hints of aromatic cedar.",,,others,medium,Notch Coffee,
Espresso Blend #01 Full City Roast, China; Indonesia; Colombia; Brazil,"Deeply rich and sweet. Molasses, almond, pear, lily, lightly singed cedar in aroma and cup. Bittersweet acidity; silky mouthfeel. Almond tones lead in the short, richly drying finish. Sweet molasses and floral notes dominate in in three parts milk.","Yunnan,",,others,medium,A.R.C.,
Burundi Kayanza Kabuye Mpanga Natural, Burundi,"Crisply sweet, spice-toned. Baker’s chocolate, cinnamon, date, magnolia, pipe tobacco in aroma and cup. Briskly sweet, floral acidity; satiny-smooth mouthfeel. The gently drying finish is savory-leaning, leading with pipe tobacco notes with backgrounded hints of baker’s chocolate and hazelnut.","Kayanza, Kabuye,",,others,medium,Kakalove Cafe,
100% Arabica Coffee from Puerto Rico, central Puerto Rico,"Bittersweet but balanced; chocolaty. Dark chocolate, dried fig, raisin, pistachio, fir in aroma and cup. Brisk, dry acidity; smooth but rather lean mouthfeel. Chocolate and pistachio carry into a surprisingly sweet though gently drying finish.","Utuado,",,others,medium,Caribeans,
Gesha Village Estate Bench Maji Gesha G1, Southern Ethiopia,"Delicate, intensely sweet, floral-toned. Star jasmine, tangerine, roasted cacao nib, maple syrup, myrrh in aroma and cup. Lively, sweet-tart acidity; plush, satiny mouthfeel. The resonant finish carries through on the promise of the aroma with deep floral and bright citrus tones, both grounded by hints of cocoa.","Bench-Maji Zone,",,others,medium,Dragonfly Coffee Roasters,
Pink Bourbon Colombia Cauca, Colombia,"Richly sweet-savory. Baker’s chocolate, vanilla, thyme, pomegranate, spicy oak in aroma and cup. Brisk, sweetly-tart acidity; crisp, velvety mouthfeel. The richly drying finish consolidates around notes of pomegranate and thyme in the short, rounding to baker’s chocolate in the long.","Huila,",,others,medium,Dragonfly Coffee Roasters,
Barrel Proof,Brazil; Kenya; Guatemala,"A grapey, fruit-saturated alcohol dominates, big and startling, though more grappa-like than whiskey-like. Pear, grappa, white oak, cocoa, raisin in aroma and cup. The acidity is essentially unreadable in coffee terms given the impact of the big, grapey alcohol sensation. The mouthfeel is light and pleasingly buoyant. The fruity alcohol dominates in a very sweet finish.",,,others,light,Revel Coffee,
Barrel-Aged Coffee, north-central Nicaragua,"Delicate, sweet, subtly structured. The alcohol reads more as brandy or cabernet than rum, but pleasingly so. Also cocoa powder, sweet wood, vanilla, dried strawberry in aroma and cup. Light-footed, sweet-toned acidity; very light but distinctly satiny mouthfeel. Rich, sweet, quietly flavor-saturated finish.","Jinotega Department,",,others,light,Reprise Coffee Roasters,
Wine-Barrel-Aged Ethiopia, southern Ethiopia,"Very sweet; quietly layered complexity. Dried jasmine, alcohol-toned raspberry, roasted cacao nib, scorched oak, grapefruit zest in aroma and cup. Light-footed, delicate acidity; light, silky mouthfeel. Floral and raspberry notes carry into a rather dry, roast-dominated finish.","Yirgacheffe growing region,",,others,medium,San Francisco Bay Coffee,
Bourbon-Barrel-Aged Kenya Baragu,Central Kenya,"Deeply sweet with a resonantly savory edge; intense and original. Peach, lavender, coconut and oak are complicated by a pleasing alcohol suggestion that no doubt reflects the bourbon-barrel conditioning, but in the sensory context of the coffee reads more brandy- or wine-like. Round, vibrant acidity; satiny mouthfeel. The peach note in particular carries into a flavor-saturated finish.",,,others,medium,Modern Times Coffee,
Pinot Noir-Aged El Salvador, western El Salvador,"Sweetly bright, subtly wine-toned. Tangerine zest, oak, honeysuckle, cocoa powder, a hint of wine in aroma and cup. Gentle, roundly bright acidity; lightly satiny, lively mouthfeel. Wine/grape suggestions carry into an oaky but very sweet-toned finish.","Apaneca-Ilamatapec growing region,",,others,medium,Water Avenue Coffee,
Puna Theobroma Coffee, Big Island of Hawaii,"Bittersweet, powerfully cocoa- and floral-toned. Intense plumeria-like flowers, cocoa, lightly scorched almond, pineapple guava in aroma and cup. The acidity is tart and dry; the mouthfeel full and syrupy in texture, though quite drying. Surprisingly sweet in the finish, with persistent chocolate and guava notes.","Puna District,",,others,medium,Big Island Coffee Roasters,
Aged Sumatra Ulos Batak Peaberry, Indonesia,"Complexly structured; tart, sweet-savory, balanced. Mango, cedar, molasses, fresh pipe tobacco, grapefruit zest in aroma and cup. Gently crisp acidity; plush, syrupy mouthfeel. Tobacco, cedar and the mango-like fruit carry into a quiet finish.","Dolok Sanggul, Lintong growing region, North Sumatra,",,others,medium,Equator Coffees & Teas,
Espresso Havana,Africa; the Pacific; South America,"Evaluated as espresso. Deeply sweet, floral- and cocoa-toned. Dark chocolate, narcissus, gently scorched cedar, plum, blood orange zest in aroma and small cup. Smooth, satiny mouthfeel. The gently drying finish leads with citrus zest and dark chocolate in the short and concludes with an intriguing, almost incense-like smoke-toned cedar in the long. Chocolate notes bloom in three parts milk, supported by narcissus and plum.",,,others,medium,Paradise Roasters,
Static Rio Negro Colombia, Colombia,"Delicate; crisply sweet-savory. Lemon blossom, roasted cacao nib, pink peppercorn, fresh fennel, plum in aroma and cup. Brisk, sweet-tart acidity; satiny-smooth mouthfeel. The quiet finish consolidates to cocoa-toned citrus notes in the short with suggestions of fresh fennel in the long.","Iquira, Huila Department,",,others,medium,Espresso Republic,
Static Santa Luzia Brazil, Brazil,"Sweetly spice-toned. Gardenia, baker’s chocolate, green grape, pecan, black peppercorn in aroma and cup. Brisk, sweet-tart acidity; delicate, silky mouthfeel. The gently drying finish consolidates to notes of pecan and baker’s chocolate with hints of gardenia.","Santa Luzia,",,others,medium,Espresso Republic,
Colombia La Palma and El Tucan Espresso, central Colombia,"Evaluated as espresso. Richly and roundly bright; chocolaty and floral. Guava, tangerine, dark chocolate, sandalwood, lily in aroma and small cup. Smooth, silky-satiny mouthfeel; dry though flavor-saturated finish. Flowers, sweetly tart fruit and chocolate all carry with rich authority into three parts milk.","Cundinamarca Department,",,others,medium,Kakalove Cafe,
Ninety Plus Estate Panama Gesha Lycello, Panama,"Delicate yet richly complex, deeply sweet. Maple syrup, tangerine, jasmine, frankincense, roasted cacao nib in aroma and cup. Crisp, sweetly tart acidity; full, syrupy mouthfeel. The round, resonant finish consolidates to notes of tangerine and cacao.","Chiriqui Province,",,others,light,Amavida Coffee Roasters,
Costa Rica Microlot White Honey, Costa Rica,"Sweetly pungent, roast-rounded. Dark chocolate, floral vanilla, orange zest, scorched cedar in aroma and cup. Pungent, bittersweet acidity, lightly syrupy mouthfeel. Bittersweet but resonant in the finish","Central Valley,",,others,medium,Jackrabbit Java,
Hopper Blend Espresso,not disclosed,"Evaluated as espresso. Sweetly roast-toned and crisply chocolaty. Dark chocolate, gently scorched cedar, narcissus-like flowers, raisin in aroma and small cup. Full, syrupy mouthfeel. Rich short finish, rather drying in the long. Dominates milk with a raisin- and floral-nuanced chocolate.",,,others,medium,Jackrabbit Java,
Peru Rayos del Sol Single Farm, northern Peru,"Crisply sweet, spice-toned. Praline, cedar, baker’s chocolate, fig, clove in aroma and cup. Soft, bittersweet acidity; richly drying, syrupy mouthfeel. The deep-toned, resonant finish consolidates to fig and cedar in the short, with a suggestions of praline in the long.","San Ignacio,",,others,medium,Branch Street Coffee Roasters,
Ethiopia Tawo Mok, southern Ethiopia,"Deeply and sweetly pungent. Ripe blueberry, dark chocolate, calla lily, orange zest, aromatic sandalwood in aroma and cup. Quiet, gentle acidity; silky mouthfeel. The ripe blueberry and dark chocolate notes carry with resonance into the short finish, while richly drying sandalwood tones dominate the long.","Yirgacheffe,",,others,medium,The WestBean Coffee Roasters,
